time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-03 00:00:00+00:00,106,24,30,7
2025-12-04 00:00:00+00:00,13,5,9,1
2025-12-05 00:00:00+00:00,12,8,14,4
2025-12-06 00:00:00+00:00,16,8,7,4
2025-12-07 00:00:00+00:00,9,5,0,0
2025-12-08 00:00:00+00:00,12,8,31,16
2025-12-09 00:00:00+00:00,12,6,1,1
2025-12-10 00:00:00+00:00,14,6,7,3
2025-12-11 00:00:00+00:00,12,8,28,4
2025-12-12 00:00:00+00:00,12,8,3,2
2025-12-13 00:00:00+00:00,9,5,1,1
2025-12-14 00:00:00+00:00,9,5,1,1
2025-12-15 00:00:00+00:00,16,11,34,5
2025-12-16 00:00:00+00:00,11,9,12,2
2025-12-17 00:00:00+00:00,15,10,9,1
