time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-03 00:00:00+00:00,106,24,30,7
2025-12-04 00:00:00+00:00,13,5,9,1
2025-12-05 00:00:00+00:00,12,8,14,4
2025-12-06 00:00:00+00:00,16,8,7,4
2025-12-07 00:00:00+00:00,9,5,0,0
2025-12-08 00:00:00+00:00,12,8,31,16
2025-12-09 00:00:00+00:00,12,6,1,1
2025-12-10 00:00:00+00:00,14,6,7,3
2025-12-11 00:00:00+00:00,12,8,28,4
2025-12-12 00:00:00+00:00,12,8,3,2
2025-12-13 00:00:00+00:00,9,5,1,1
2025-12-14 00:00:00+00:00,9,5,1,1
2025-12-15 00:00:00+00:00,16,11,34,5
2025-12-16 00:00:00+00:00,11,9,12,2
2025-12-17 00:00:00+00:00,15,10,9,1
2025-12-18 00:00:00+00:00,13,9,0,0
2025-12-19 00:00:00+00:00,9,9,18,3
2025-12-20 00:00:00+00:00,12,4,1,1
2025-12-21 00:00:00+00:00,6,5,7,4
2025-12-22 00:00:00+00:00,12,7,4,2
2025-12-23 00:00:00+00:00,9,5,40,2
2025-12-24 00:00:00+00:00,11,7,29,6
2025-12-25 00:00:00+00:00,20,10,4,3
2025-12-26 00:00:00+00:00,15,8,31,2
2025-12-27 00:00:00+00:00,20,9,77,4
2025-12-28 00:00:00+00:00,15,5,5,2
2025-12-29 00:00:00+00:00,15,7,7,4
2025-12-30 00:00:00+00:00,15,5,4,2
2025-12-31 00:00:00+00:00,13,9,10,3
2026-01-01 00:00:00+00:00,5,5,2,2
2026-01-02 00:00:00+00:00,11,7,8,4
2026-01-03 00:00:00+00:00,10,6,3,3
2026-01-04 00:00:00+00:00,8,4,1,1
2026-01-05 00:00:00+00:00,14,8,34,5
2026-01-06 00:00:00+00:00,10,6,3,3
2026-01-07 00:00:00+00:00,5,5,0,0
2026-01-08 00:00:00+00:00,7,7,1,1
2026-01-09 00:00:00+00:00,11,6,4,2
2026-01-10 00:00:00+00:00,13,9,0,0
2026-01-11 00:00:00+00:00,13,5,7,4
2026-01-12 00:00:00+00:00,4,4,4,4
2026-01-13 00:00:00+00:00,21,11,6,3
2026-01-14 00:00:00+00:00,4,4,9,5
2026-01-15 00:00:00+00:00,35,12,67,9
